profit,is_bad,is_poor,is_fine,is_good,is_excellent,year,budget,run_time,rating,open_theater_count,release,is_A24,is_Drama,is_Comedy,is_Thriller,is_Action,is_Adventure,is_Sci-Fi
18.075635,0,0,1,0,0,2018,13.5,100,6.0,2038.0,20180420,0,0,1,0,0,0,0
4.361428,0,0,1,0,0,2018,34.0,105,5.7,3127.0,20180803,0,1,0,1,1,1,1
71.487563,0,0,1,0,0,2018,88.0,107,5.3,4037.0,20180914,0,0,0,1,1,1,1
55.520633,0,0,1,0,0,2018,10.0,110,7.5,2402.0,20180316,0,1,1,0,0,0,0
676.36237,0,0,0,0,1,2018,110.0,119,7.6,4349.0,20180518,0,0,1,0,1,1,1
33.9847,0,0,1,0,0,2018,42.0,130,6.8,2803.0,20181116,0,1,0,1,0,0,0
12.067665,0,0,1,0,0,2018,23.0,133,7.5,36.0,20181019,0,1,0,0,0,0,0
845.453201,0,0,0,0,1,2018,50.0,134,7.9,4000.0,20180320,0,1,0,0,0,0,0
76.951861,0,0,1,0,0,2018,69.0,140,6.447046414,3056.0,20180302,0,1,0,1,0,0,0
-2.800601,0,1,0,0,0,2018,32.0,141,7.1,2808.0,20181012,0,1,0,1,0,0,0
203.878536,0,0,0,1,0,2018,62.0,143,6.2,3787.0,20180126,0,0,0,1,1,1,1
0.488612,0,1,0,0,0,2018,3.5,113,7.1,4.0,20180608,1,1,0,1,0,0,0
7.035592,0,0,1,0,0,2018,7.0,105,6.7,3.0,20180914,1,1,0,0,0,0,0
-5.014999,1,0,0,0,0,2018,8.0,121,7.1,4.0,20180406,1,1,0,0,0,1,0
7.487575,0,0,1,0,0,2018,1.7,85,7.3,4.0,20181026,1,1,1,0,0,0,0
12.34802,0,0,0,1,0,2018,2.0,94,7.4,4.0,20180803,1,1,1,0,0,0,0
71.263489,0,0,0,0,1,2018,10.0,127,7.3,2964.0,20180608,1,1,0,1,0,0,0
-11.372462,1,0,0,0,0,2018,12.0,102,6.7,2.0,20180629,1,1,0,0,0,0,0
-3.259253,0,1,0,0,0,2018,10.0,117,6.9,23.0,20180921,0,1,0,0,0,0,0
-5.985438,0,1,0,0,0,2018,19.3,120,7.4,4.0,20181012,0,1,0,0,0,0,0
15.08556,0,0,1,0,0,2018,3.2,112,6.9,16.0,20180713,0,1,1,0,0,0,1
7.859167,0,0,1,0,0,2018,12.0,117,7.1,4.0,20181225,0,1,0,0,0,0,0
-23.363933,0,1,0,0,0,2018,38.0,121,6.9,4.0,20181019,0,1,0,0,0,0,0
10.893782,0,0,1,0,0,2018,60.0,132,8.0,22.0,20181225,0,1,0,1,0,0,0
-14.855835,0,1,0,0,0,2018,18.8,110,6.7,4.0,20181116,0,1,0,0,0,0,0
27.144262,0,0,1,0,0,2018,5.0,85,5.2,2464.0,20180309,0,0,0,0,0,0,0
13.976561,0,0,1,0,0,2018,3.0,100,7.5,1457.0,20180601,0,0,0,1,1,0,1
8.910183,0,0,1,0,0,2018,7.0,112,6.7,4.0,20180921,0,1,0,0,0,0,0
12.796709,0,0,1,0,0,2018,1.5,98,6.4,2023.0,20180323,0,1,0,1,0,0,0
1.195105,0,1,0,0,0,2018,6.0,114,6.6,5.0,20180427,0,1,1,0,0,0,0
12.795662,0,0,1,0,0,2018,5.5,89,5.5,2297.0,20180928,0,0,0,1,0,0,0
42.460255,0,0,1,0,0,2018,3.5,99,5.4,2480.0,20180202,0,1,0,1,0,0,0
-15.851909,0,1,0,0,0,2018,34.0,101,6.4,1560.0,20180406,0,1,0,1,0,0,0
-4.036316,0,1,0,0,0,2018,35.0,103,5.1,2402.0,20180309,0,0,0,1,1,1,0
3.781638,0,0,1,0,0,2018,1.0,107,6.4,2007.0,20180504,0,0,0,1,0,0,0
-2.152362,0,1,0,0,0,2018,25.0,93,6.447046414,29.0,20180615,0,0,0,0,0,0,0
129.378778,0,0,0,1,0,2018,30.0,89,6.2,544.0,20181026,0,0,1,0,1,1,0
-1.525779,0,1,0,0,0,2018,5.0,92,6.6,549.0,20180309,0,1,1,1,0,0,0
8.452688,0,0,1,0,0,2018,7.5,96,6.9,6.0,20180504,0,1,1,0,0,0,0
0.86265,0,1,0,0,0,2018,11.0,115,6.9,5.0,20181111,0,1,0,0,0,0,0
18.883444,0,0,1,0,0,2018,20.0,120,7.1,33.0,20190111,0,1,0,0,0,0,0
22.020146,0,0,1,0,0,2018,25.0,125,6.3,4.0,20181221,0,1,0,0,0,0,0
78.411426,0,0,1,0,0,2018,15.0,135,7.5,1512.0,20180810,0,1,1,0,0,0,0
1.155673,0,1,0,0,0,2018,15.8,93,6.7,5.0,20181019,0,1,1,0,0,0,0
18.688771,0,0,1,0,0,2018,40.0,101,7.8,2301.649025,20180413,0,1,1,0,0,1,1
2.517379,0,0,1,0,0,2018,10.0,107,7.1,5.0,20181019,0,1,1,0,0,0,0
80.872148,0,0,1,0,0,2018,15.0,120,7.5,4.0,20181221,0,1,1,0,0,0,0
-0.551766,0,1,0,0,0,2018,3.4,111,5.7,1272.0,20180907,0,1,0,0,0,0,0
-21.17638,0,1,0,0,0,2018,25.0,84,6.9,1633.0,20180413,0,0,0,0,0,1,0
30.371031,0,0,1,0,0,2018,5.5,91,4.0,3212.0,20180518,0,0,1,0,0,1,0
24.152508,0,0,1,0,0,2018,2.8,91,6.6,2301.649025,20180323,0,1,0,0,0,0,0
-2.183373,0,1,0,0,0,2018,15.5,94,6.1,2407.0,20180608,0,1,0,1,1,0,1
-1.740247,0,1,0,0,0,2018,10.0,98,5.3,1710.0,20180824,0,1,0,1,1,1,1
26.61109,0,0,1,0,0,2018,2.0,100,8.1,4.0,20180928,0,0,0,0,0,1,0
-0.320107,0,1,0,0,0,2018,4.0,93,6.5,668.0,20181012,0,1,0,0,0,0,0
-7.566268,0,1,0,0,0,2018,8.0,118,3.9,613.0,20181026,0,0,0,1,0,0,0
-7.720345,0,1,0,0,0,2018,18.0,99,6.5,1707.0,20180406,0,1,0,0,0,0,0
-1.803774,0,1,0,0,0,2018,10.0,113,6.2,1.0,20180808,0,1,1,0,0,0,0
-0.014646,0,1,0,0,0,2018,5.0,95,6.447046414,14.0,20180720,0,1,1,0,0,0,0
5.561231,0,0,1,0,0,2018,4.0,96,5.9,1046.0,20180420,0,0,0,1,1,0,0
-19.616476,0,1,0,0,0,2018,30.0,102,7.9,2141.0,20180831,0,1,0,0,0,0,0
28.594261,0,0,1,0,0,2018,18.0,103,5.8,2742.0,20180629,0,1,1,0,0,0,0
78.509836,0,0,1,0,0,2018,40.0,105,6.3,2892.0,20180112,0,0,0,1,1,0,0
77.628717,0,0,1,0,0,2018,20.0,117,6.8,3102.0,20180914,0,0,1,1,0,0,0
37.109957,0,0,1,0,0,2018,40.0,117,6.0,3111.0,20180803,0,0,1,0,1,1,0
26.627836,0,0,1,0,0,2018,20.0,120,5.9,2301.649025,20180330,0,1,0,1,0,0,0
-10.674791,0,1,0,0,0,2018,40.0,121,6.6,2720.0,20181026,0,0,0,1,1,0,0
-2.387901,0,1,0,0,0,2018,20.0,123,6.6,1818.0,20180829,0,1,0,1,0,0,0
163.591522,0,0,0,1,0,2018,50.0,130,7.1,3441.0,20181121,0,1,0,0,1,0,0
12.367948,0,0,1,0,0,2018,1.0,96,7.6,5.0,20180629,0,1,0,0,0,0,0
-4.147241,0,1,0,0,0,2018,7.0,108,6.0,1403.0,20180921,0,1,1,1,1,0,0
7.926031,0,0,1,0,0,2018,4.9,97,6.4,3.0,20180223,0,1,0,0,0,0,0
15.434588,0,0,1,0,0,2018,1.0,92,6.0,1546.0,20180720,0,0,0,1,0,0,0
-13.896325,0,1,0,0,0,2018,19.0,85,5.1,2032.0,20180601,0,0,1,0,0,0,0
28.527651,0,0,1,0,0,2018,59.0,86,5.2,3662.0,20180323,0,0,1,0,0,1,0
318.205231,0,0,0,0,1,2018,17.0,90,7.5,3508.0,20180406,0,1,0,0,0,0,1
1.178189,0,1,0,0,0,2018,38.0,110,6.6,2859.0,20181109,0,0,0,0,1,0,1
363.195589,0,0,0,0,1,2018,102.0,114,6.7,3550.0,20181221,0,0,0,0,1,1,1
71.736188,0,0,1,0,0,2018,48.0,118,7.3,3286.0,20181116,0,1,1,0,0,0,0
609.176729,0,0,0,0,1,2018,178.0,147,7.7,4386.0,20180727,0,0,0,1,1,1,0
77.228463,0,0,1,0,0,2018,14.1,103,6.1,2781.0,20180518,0,1,1,0,0,0,0
3.070915,0,0,1,0,0,2018,40.0,115,6.447046414,2012.0,20180223,0,1,0,0,0,0,0
0.062977,0,1,0,0,0,2018,1.4,112,7.8,1503.0,20191225,0,1,0,0,0,0,0
-2.152849,0,1,0,0,0,2018,7.0,109,4.5,1249.0,20180216,0,1,0,0,1,0,0
1.316897,0,1,0,0,0,2018,4.9,98,5.8,1620.0,20180914,0,1,0,0,0,0,0
0.889633,0,1,0,0,0,2018,2.7,119,5.8,830.0,20181026,0,1,0,0,0,0,0
-0.114119,0,1,0,0,0,2018,6.0,109,4.1,1005.0,20180803,0,0,0,0,0,0,0
-0.383005,0,1,0,0,0,2018,13.0,103,6.7,4.0,20181207,0,1,0,0,0,0,0
12.876066,0,0,1,0,0,2018,3.5,104,6.6,1114.0,20180119,0,1,1,0,0,0,0
78.783567,0,0,1,0,0,2018,7.0,110,7.3,1627.0,20180316,0,1,0,0,0,0,0
36.87373,0,0,1,0,0,2018,6.0,86,5.2,2065.0,20181130,0,0,0,1,0,0,0
7.709539,0,0,1,0,0,2018,14.0,88,5.0,2125.0,20180112,0,1,0,1,1,0,0
-0.073395,0,1,0,0,0,2018,42.0,90,3.9,2776.0,20181225,0,0,1,0,0,0,0
58.291478,0,0,1,0,0,2018,35.0,90,5.6,3521.0,20181012,0,0,1,0,0,1,0
295.15544,0,0,0,0,1,2018,50.0,95,6.6,3725.0,20180209,0,1,1,0,0,1,0
48.624873,0,0,1,0,0,2018,51.0,96,7.5,2719.0,20180817,0,0,1,0,0,0,0
447.103195,0,0,0,0,1,2018,80.0,97,6.3,4267.0,20180713,0,0,1,0,0,1,0
75.210613,0,0,1,0,0,2018,0.88,102,7.6,9.0,20180831,0,1,0,1,0,0,0
21.0785,0,0,1,0,0,2018,5.0,106,6.6,1473.0,20180323,0,1,0,0,0,1,0
-3.052017,0,1,0,0,0,2018,29.0,111,6.5,2504.0,20180914,0,1,0,0,0,0,0
753.530899,0,0,0,0,1,2018,100.0,112,6.6,825.0,20181005,0,0,0,0,1,1,1
0.033962,0,1,0,0,0,2018,3.2,113,6.1,4.0,20181121,0,1,0,0,0,0,0
285.332003,0,0,0,0,1,2018,90.0,117,6.447046414,3813.0,20181214,0,0,0,0,1,1,0
-8.016658,0,1,0,0,0,2018,43.0,117,6.1,2301.649025,20181109,0,1,0,1,1,1,0
128.376181,0,0,0,1,0,2018,62.0,121,6.7,3388.0,20180720,0,0,0,1,1,0,0
40.885196,0,0,1,0,0,2018,35.0,122,7.1,3055.0,20180629,0,1,0,1,1,0,0
4.723581,0,0,1,0,0,2018,16.0,129,5.2,2220.0,20180613,0,0,0,1,1,0,0
16.293486,0,0,1,0,0,2018,10.0,98,7.2,5.0,20181228,0,1,1,0,0,0,0
